|ROW|COL|Value
55|Imp_A24|ABW_A09|197.486
56|Imp_A25|ABW_A09|134.911
57|Imp_A26|ABW_A09|7216.553
58|Imp_ZL0008|ABW_A09|-19.136
59|Imp_ZLR1|ABW_A09|0.0
0|ABW_A01|ABW_A10|0.108
1|ABW_A02|ABW_A10|0.534
2|ABW_A03|ABW_A10|5.043
3|ABW_A04|ABW_A10|0.207
4|ABW_A05|ABW_A10|39.796
5|ABW_A06|ABW_A10|47.29
6|ABW_A07|ABW_A10|144.41
7|ABW_A08|ABW_A10|110.719
8|ABW_A09|ABW_A10|687.475
9|ABW_A10|ABW_A10|4.375
10|ABW_A11|ABW_A10|171.604
11|ABW_A12|ABW_A10|0.181
12|ABW_A13|ABW_A10|135.022
13|ABW_A14|ABW_A10|27.523
14|ABW_A15|ABW_A10|11.51
15|ABW_A16|ABW_A10|785.368
16|ABW_A17|ABW_A10|48.252
17|ABW_A18|ABW_A10|51.634
18|ABW_A19|ABW_A10|82.863
19|ABW_A20|ABW_A10|32.041
20|ABW_A21|ABW_A10|1193.79
21|ABW_A22|ABW_A10|0.979
22|ABW_A23|ABW_A10|19.011
23|ABW_A24|ABW_A10|0.093
24|ABW_A25|ABW_A10|1.162
25|ABW_A26|ABW_A10|0.188
26|ABW_LG01|ABW_A10|4.596
27|ABW_LG02|ABW_A10|-17.097
28|ABW_LH01|ABW_A10|1486.35
29|ABW_LK01|ABW_A10|467.056
30|ABW_LK02|ABW_A10|89.508
31|ABW_LK03|ABW_A10|264.344
32|Imp_A01|ABW_A10|752.1370000000001
33|Imp_A02|ABW_A10|265.405
34|Imp_A03|ABW_A10|497.371
35|Imp_A04|ABW_A10|637.492
36|Imp_A05|ABW_A10|1258.782
37|Imp_A06|ABW_A10|580.888
38|Imp_A07|ABW_A10|2835.458
39|Imp_A08|ABW_A10|3529.596
40|Imp_A09|ABW_A10|19460.219
41|Imp_A10|ABW_A10|16056.079
42|Imp_A11|ABW_A10|2933.019
43|Imp_A12|ABW_A10|291.07
44|Imp_A13|ABW_A10|266.749
45|Imp_A14|ABW_A10|352.707
46|Imp_A15|ABW_A10|204.891
47|Imp_A16|ABW_A10|312.281
48|Imp_A17|ABW_A10|431.791
49|Imp_A18|ABW_A10|321.475
50|Imp_A19|ABW_A10|429.668
51|Imp_A20|ABW_A10|348.947
52|Imp_A21|ABW_A10|1799.315
53|Imp_A22|ABW_A10|284.097
54|Imp_A23|ABW_A10|774.223
55|Imp_A24|ABW_A10|205.623
56|Imp_A25|ABW_A10|151.04500000000002
57|Imp_A26|ABW_A10|4252.135
58|Imp_ZL0008|ABW_A10|-18.266
59|Imp_ZLR1|ABW_A10|0.0
0|ABW_A01|ABW_A11|1.059
1|ABW_A02|ABW_A11|1.046
2|ABW_A03|ABW_A11|9.634
3|ABW_A04|ABW_A11|26.916
4|ABW_A05|ABW_A11|398.984
5|ABW_A06|ABW_A11|2335.12
6|ABW_A07|ABW_A11|459.983
7|ABW_A08|ABW_A11|350.619
8|ABW_A09|ABW_A11|387.101
9|ABW_A10|ABW_A11|80.208
10|ABW_A11|ABW_A11|501.24
11|ABW_A12|ABW_A11|19.389
12|ABW_A13|ABW_A11|576.554
13|ABW_A14|ABW_A11|178.924
14|ABW_A15|ABW_A11|62.849
15|ABW_A16|ABW_A11|2448.39
16|ABW_A17|ABW_A11|579.285
17|ABW_A18|ABW_A11|457.993
18|ABW_A19|ABW_A11|463.87
19|ABW_A20|ABW_A11|212.593
20|ABW_A21|ABW_A11|2995.8
21|ABW_A22|ABW_A11|16.407
22|ABW_A23|ABW_A11|99.475
23|ABW_A24|ABW_A11|0.13
24|ABW_A25|ABW_A11|12.723
25|ABW_A26|ABW_A11|0.492
26|ABW_LG01|ABW_A11|7.731
27|ABW_LG02|ABW_A11|-5.76
28|ABW_LH01|ABW_A11|2147.72
29|ABW_LK01|ABW_A11|635.068
30|ABW_LK02|ABW_A11|130.091
31|ABW_LK03|ABW_A11|299.954
32|Imp_A01|ABW_A11|1371.937
33|Imp_A02|ABW_A11|548.754
34|Imp_A03|ABW_A11|811.644
35|Imp_A04|ABW_A11|1273.977
36|Imp_A05|ABW_A11|1745.794
37|Imp_A06|ABW_A11|4163.559
38|Imp_A07|ABW_A11|2673.33
39|Imp_A08|ABW_A11|3520.335
40|Imp_A09|ABW_A11|3336.839
41|Imp_A10|ABW_A11|977.2800000000001
42|Imp_A11|ABW_A11|6121.36
43|Imp_A12|ABW_A11|508.85699999999997
44|Imp_A13|ABW_A11|351.41700000000003
45|Imp_A14|ABW_A11|590.336
46|Imp_A15|ABW_A11|341.182
47|Imp_A16|ABW_A11|543.269
48|Imp_A17|ABW_A11|775.824
49|Imp_A18|ABW_A11|509.409
50|Imp_A19|ABW_A11|670.972
51|Imp_A20|ABW_A11|546.816
52|Imp_A21|ABW_A11|1628.785
53|Imp_A22|ABW_A11|456.525
54|Imp_A23|ABW_A11|985.835
55|Imp_A24|ABW_A11|337.547
56|Imp_A25|ABW_A11|146.96
57|Imp_A26|ABW_A11|2403.03
58|Imp_ZL0008|ABW_A11|-4.721
59|Imp_ZLR1|ABW_A11|0.0
0|ABW_A01|ABW_A12|0.121
1|ABW_A02|ABW_A12|0.474
2|ABW_A03|ABW_A12|477.38
3|ABW_A04|ABW_A12|11.374
4|ABW_A05|ABW_A12|3.65
5|ABW_A06|ABW_A12|29.759
6|ABW_A07|ABW_A12|185.258
7|ABW_A08|ABW_A12|43.879
8|ABW_A09|ABW_A12|0.866
9|ABW_A10|ABW_A12|0.404
10|ABW_A11|ABW_A12|4.734
11|ABW_A12|ABW_A12|148.64
12|ABW_A13|ABW_A12|80.859
13|ABW_A14|ABW_A12|1.054
14|ABW_A15|ABW_A12|0.494
15|ABW_A16|ABW_A12|11.406
